position equalization serial_number
636 1.20734 BDC4228
637 1.0175 BDC4221
638 1.25115 HB9001
641 1.57963 HB9197
642 1.07087 BDC4280
643 1.06019 BDC4230
644 0.988834 BAD0928
645 1.01182 BAD0931
646 1.02155 BAD0938
647 1.02542 BAD0945
648 1.21785 HB8825
651 1.14573 HB8926
652 1.0999 HB8943
653 0.972327 BAD1278
654 0.935056 BAD0939
655 0.879324 BAD0950
656 0.943372 BAD1351
657 1.03952 BDC4262
658 1.17418 HB8681
659 1.24433 HB9103
661 1.14885 HB9099
662 1.04304 BAD0937
663 0.964072 BAD0934
664 0.897336 BAD1355
665 0.942207 BAD0954
666 0.90402 BAD1352
667 0.940857 BAD1356
668 1.26257 HB9190
672 1.12589 HB8826
673 1.00356 BAD0933
674 0.90734 BAD0940
675 0.810157 BAD1358
676 0.941884 BAD1353
677 0.989362 BAD1459
678 1.14135 HB9114
682 1.15616 HB9180
687 1.17449 HB9045
715 0.988129 BDB4528
722 1.12366 HB8852
723 0.986602 BAD5721
724 1.01758 BAD5661
725 0.95517 BDC5945
726 0.949625 BDC5896
727 1.20044 HB8978
732 1.11904 HB9148
733 1.02863 BDC5900
734 1.13938 BDC5977
735 0.913003 BDC5912
736 0.919468 BDC5911
737 1.08176 BAD5656
738 1.23652 HB8673
741 1.18973 HB9008
742 4.05552e-06 BAD5722
743 0.975075 BAD5736
744 0.959049 BDC5910
745 0.861089 BAD5728
746 1.07737 BAD5742
747 1.11309 BDC4289
748 1.26895 HB9143
751 1.13811 HB9006
752 1.10133 HB9025
753 1.00884 BDC4240
754 1.03457 BDC4274
755 1.06284 BDC4267
756 0.000265437 BDC4269
757 1.07304 BDC4276
758 1.16701 HB9017
759 1.93449 HB8669
761 1.18519 HB9123
762 1.44567 BDC4216
763 1.05166 BDC4286
764 0.967526 BDC4207
765 1.06217 BDC4284
766 1.09871 BDC4287
767 1.21523 BDC4270
768 1.22446 HB9119
772 1.17055 HB9036
773 0.974038 BDC4226
774 1.02556 BDC4278
775 1.02697 BDC4282
776 1.039 BDC4246
777 1.32181 BDC4203
778 1.22111 HB9009
782 1.11169 HB9120
787 1.40941 HB8675
815 1.05788 BAD5665
822 1.19868 HC0830
823 0.943901 BAD5638
824 1.00292 BAD5637
825 1.06684 BAD5699
826 0.882823 BDC6092
827 1.19157 HB9164
832 1.19453 HC0834
833 1.01276 BHA0379
834 0.96298 BAD5645
835 1.05269 BHA0378
836 0.940596 BDC6089
837 0.984598 BDC6113
838 1.2546 HC0827
841 1.31288 HC0862
842 1.08848 BHA0328
843 1.00591 BDC6132
844 1.02965 BAD5655
845 0.892186 BDC6091
846 1.07289 BAD5551
847 1.00713 BAD5702
848 1.21009 HC0853
851 1.09024 HC0860
852 1.12586 HB9007
853 0.934743 BDC6088
854 0.939834 BDC6087
855 0.976929 BAD5720
856 0.987225 BAD5719
857 1.00068 BAD5662
858 1.18014 HC0865
859 1.2767 HC0839
861 1.16487 HB8694
862 1.01137 BDC5989
863 0.977318 BDC6120
864 0.868921 BDC6090
865 1.03658 BDC6049
866 0.954947 BDC6082
867 0.973144 BDC5920
868 1.21888 HC0874
872 1.20473 HB9029
873 1.04237 BDC5937
874 1.01294 BDC4223
875 0.988164 BAD5690
876 0.857554 BDC6093
877 1.06391 BAD5459
878 1.27467 HC0878
882 1.21193 HC0852
887 1.3107 HC0885
